Puzzle,Givens,Singles,Hidden Singles,Naked Pairs,Hidden Pairs,Pointing Pairs/Triples,Box/Line Intersections,Guesses,Backtracks,Difficulty
47.5...6.9....7...63..9.1..3...1..........2..1..94............4...152.37....36..1,25,48,8,0,0,0,0,0,0,Easy,
75.4....6..1..523.....6...5....5.6..123......5...74.818..3..7.4..2.........8.....,26,47,8,0,0,0,0,0,0,Easy,
...37.9...2..81.46.386..2...8396...2.4..1......6...4.9............13..8....2.....,26,42,13,0,0,0,0,0,0,Easy,
.......2.6...54..9..4..1.......38.158...26....4...5....1...35....38..19..62...3..,26,34,21,2,0,0,0,0,0,Intermediate,
.3..271.8..1...329....6..7...97...1........866....37......3..4....8......92.4....,25,53,20,3,0,0,0,2,2,Expert,
........3..6...9..1...2.46.....652.8.3...4........8.5.9....1..2..1.....55...9..3.,23,33,25,0,0,0,0,0,0,Easy,
.......6.8.9..2....139......4.6.17.21..7......3..9....2.....1......8.6....82...93,24,48,28,1,1,2,0,5,4,Expert,
8..4...7..4...2.9.15..694..5....81.99..1...52..82..74...1.......6.......295......,28,106,14,3,1,4,0,9,10,Expert,
.8.5.6...2.39.47..7...3..4.54....9.8..27.............38.4.....9..9.6...7.......6.,25,44,9,0,0,0,0,3,0,Expert,
...45.1..1..7.254.7..6.8..24.82.......2....9.67...1.282......7....5............1.,26,51,4,0,0,0,0,0,0,Easy,
.26..8.5.31.........5...3.2..37.....5.8.43......25.7...5..2....7...1....6.4....8.,25,29,27,2,0,0,0,0,0,Intermediate,
.....2..423..61...6..57..........2..5...9.7.1....1...6..7.5.1...65.....71...294..,26,42,12,2,2,0,0,1,0,Expert,
.2...3.16..7...3....15.27.8..8.562.9..5.79.3.1........5..........3.87...9.6......,27,46,7,1,0,0,0,1,0,Expert,
...7.63.4.....3.......9..76..68.42.7.....2...38.6....5....5..3......8....25...6.9,25,48,8,0,0,0,0,0,0,Easy,
............3..27.....726946.....5.2.7........85....3..4.9....53.8.64....2.53.7..,26,37,18,2,0,0,0,0,0,Intermediate,
..1....3.5.....4.8...8....1.26....4..7..3....8...5.7.6...5......3...627.2...4....,23,42,16,0,0,0,0,0,0,Easy,
2.58.4.9....3....4.6....38.94.....2....4.....5.6.......83.....14.........1..236..,24,47,10,3,0,1,0,0,0,Intermediate,
.39....58......72..8..7.....4....51...2.8..34...........3..8..5..74.9..3...1.2.7.,25,48,7,0,2,4,1,1,0,Expert,
.8..5...21...83....74..6.3.4...2168..5....1..8......27....18......6........4.2..1,26,56,11,1,0,0,0,2,2,Expert,
...139......2..1.7..3..7.5.......8.5...9.2..3...7.5.1.19.3...8.7.......6...6..9..,25,54,2,0,0,0,0,0,0,Easy,
..2..9.....4...9..8..27....9.3..1....4.3..6.7....2......9.4.21..169..7...2..183.9,28,41,12,0,0,0,0,0,0,Easy,
....97.......8.5.1.6.14..97...8.6..4..4..9.6.....7...8.49...6.5.3....7...583.....,27,35,19,0,0,0,0,0,0,Easy,
...8.2......6......3...5...2....3.54....5...1.8.1......2..6.9..5....4.3634..1.2.8,25,82,14,3,3,4,0,5,4,Expert,
.936.4..8......4...5..2.....4....5..52..3...7.7..62.9.........9...8...3...83.9..2,25,41,15,0,0,0,0,0,0,Easy,
...9..52...9....6.5.1.6.8...2......587.....46.4.5.297....1.....4....9......8.7...,25,56,0,0,0,0,0,0,0,Simple,
...7.......746.8.2..8...67...5...39.7.28.....8..35....394.8.2..........9......45.,26,59,13,0,1,0,1,3,2,Expert,
.8....5..5...1.7...........1..6.7..8.6.8.91...5.....7....2..3....7..58.18..7..629,26,43,12,0,0,2,0,0,0,Intermediate,
8.....263.15.............8.....38....2.1........6.9.14..3....26.42...9..6.13..4..,25,64,17,1,0,2,1,2,2,Expert,
..8..3....2..........9.1...5....7.93...2.5...3.....4.224.....1...91.87..1...5..3.,24,44,18,0,0,0,0,2,2,Expert,
.23......67......9.9..2.71.....1...4.4.....92......3..2..7.....96...3.5.4...69..3,25,61,19,0,2,1,0,2,2,Expert,
2..6.1.4.4532...9.1..........4.32.81..98.........5.........4.65....6..2..82.....4,26,50,5,0,0,0,0,0,0,Easy,
1.46.3....9..7..6....4.8......8.76..91..2......7.....2...9...284....1....28..6..4,26,38,17,0,0,0,0,0,0,Easy,
.3....19......9...18.....6.7...5.......6....2.9.1...7......3...6...27.1...7...253,23,46,12,0,0,0,0,0,0,Easy,
......7.5...71...............8..21..37...1...1.4..5.927.3....1.285...4.34...3..2.,26,44,11,0,0,0,0,0,0,Easy,
9........7.8.....9.......4.1879..6.559.8.......4..2.....6..58...1...79.42..6..1..,26,35,20,0,0,0,0,0,0,Easy,
.6.2......49.....6...3......95.....4.8...1.3.....69.1..2...369..36..45..........8,24,43,14,0,1,6,0,0,0,Intermediate,
.76.....8..8.......2....5.....5...2.3..6..9.729......5..9.7.3..16.2.8.......361..,25,31,25,0,0,0,0,0,0,Easy,
6.782..94..8..6....94.....2..............3.6.7..2....11...3.7.....78.1..8..9.....,24,44,13,0,0,0,0,0,0,Easy,
...34.1.......249.....8..23.....63....2....6.7...2.8...9..63.4....8.....2......71,24,39,18,1,2,1,0,0,0,Intermediate,
...4.9....51......7..........4.157...7.82..5.6..9....8..9.......2...14..1..6.4..9,24,49,8,0,0,3,0,0,0,Intermediate,
6.......4..1.5.2..423....68...4....19.5..6..2..8.9...5..........89..2...1625.8...,27,42,21,2,0,1,0,2,2,Expert,
...48..17......29.......6..21....3..9...1..2.3....4...1....7..9..4..68...26..3...,24,50,7,2,0,0,0,0,0,Intermediate,
..9.......7..3...5.54.2..1..41.6.....9.....4......7.6...695...7..5.7.3..9....2...,24,51,18,3,0,1,0,3,2,Expert,
74......5.1...2..8.23.7.4.9..9........4859......7.........1.7825.1....9.....4....,25,48,8,0,0,0,0,0,0,Easy,
457..2...2.138.........4.......9....78...3...1.387.2...1..37.....84..51...2.....3,27,51,14,1,0,0,0,5,6,Expert,
......4384..93.....1..7...227......4.3.8.....5.1...3.7........17.92..8........293,26,35,19,1,0,1,0,1,0,Expert,
6.78......3....6...........4..1.7.9.....82.1.28...6..7...7..1..9.4..1..2..26.8.3.,26,49,17,1,0,2,0,3,2,Expert,
1..85........1..4..4....8.9......1.3.36.......8..3..65..4.8..5...7.6..98..9..16..,26,38,21,2,1,1,0,2,2,Expert,
.......1...2......4..6...72...82.4..7..5.....52.1.6.9.85.2...4.1.....7...947.5.86,28,37,16,2,0,0,0,0,0,Intermediate,
.2...6.....5...69...9......2....1..4.93...1.2.6.7....5.1.93.7....2......3.4.6....,24,40,17,1,0,3,1,0,0,Intermediate,
....972..62.8......1...4.7......18...8...26..3.1........87....3..4.1.......9...24,24,40,17,0,0,0,0,0,0,Easy,
614.......7341....8.....7.....19...7..13.4.8.54..8...34....3.951..6.......5......,27,32,20,1,0,2,0,2,0,Expert,
..9..6.48.8429..1....7...2..2....8....7.1....15.......6..8....5.9..7.....1.5....6,25,40,16,0,0,0,0,0,0,Easy,
..67...5..18.......5..2.6.4..95.........6...7..........879....55...7..9..6.25..18,25,49,15,1,0,0,0,2,2,Expert,
.8.46.7.9..2..........5....6.7...25.4..5....8....2.67...........59.8..12.4.79.8..,26,65,10,3,2,5,0,5,4,Expert,
6.........159...4.749.....64.6...83....1....9.9........3..6.41........7.8.74..3.5,26,43,12,0,0,0,0,0,0,Easy,
3..9....5.8..63.1........8..7...8.5..15.749..9..3..4.....6.5.....1.....7.6.......,24,49,8,1,0,4,0,0,0,Intermediate,
..8.57.3.............94...5.8543......157.6......16...8.43...765.......8.3.1.4...,27,44,10,0,0,0,0,0,0,Easy,
6....5..78.5..42...17.26....2....4.1....8..5........79....9..261.....74....51....,26,46,9,0,0,0,0,0,0,Easy,
..1.....9..8...14........3.9.41.8....2..5.6.1.....94....63....5.5.2.6.8.....9..2.,25,42,14,0,0,0,0,0,0,Easy,
..4...7.98.2.7.4.....9....33.....8..1..7..54.5.....9..9.13....2.7...9......1.....,24,54,11,2,0,0,1,2,2,Expert,
8..4..7.9.6....15......7..81.........3.8...9...69.3.....1.4.96.74.....8..5....3.7,26,33,22,0,0,0,0,0,0,Easy,
..1.27....5.......7......3....6.827..9.....8....2...133........975......8...7.62.,23,45,13,0,0,0,0,0,0,Easy,
.....4.2.4.9.2..1...1..768.5...4.........674......9...74..9.....581.....9.2..587.,27,50,4,0,0,0,0,0,0,Easy,
..........25....4.7..5..923362.....1...7....4.7..............5.9..3.4....5462..97,25,37,19,0,0,0,0,0,0,Easy,
7...1..8..18..25..9..3.......7.3.21..91....5..86.7.9.....8....1.....7.......95.2.,26,78,20,3,3,0,0,6,8,Expert,
5.....61..2..1....6.....2.9.9.2..1.4........71.45..9...3..2.76.........3..596..4.,26,61,19,1,0,0,0,6,8,Expert,
4....7....7..3..25.......1..2...94........3...5.....9159.24.13.8...9...2...31.58.,27,55,14,3,1,0,0,3,2,Expert,
1.....7.936...9.8.........2...1.....2.8.....39.3..7...67921..3....8.3..5.........,24,41,16,0,0,0,0,0,0,Easy,
..61.97.8.5....92..2..7...6......6.1...7............932...6.3...3..87...9....1.67,26,48,7,0,0,0,0,0,0,Easy,
2.8...7..7.......8.....143...7...9.........1....9..8.7..5.1...3.34.8.......54.2.9,24,41,16,0,0,0,0,0,0,Easy,
.1.2......958.627.6...9..1..6....8.........46...4..5...29..8..1..85...2..5....4..,26,46,9,0,0,0,0,0,0,Easy,
..52..3...........2.6.4.9...74....2.92....4.3....3.....87.....6.....9.755..7.68..,25,43,13,0,0,0,0,0,0,Easy,
4........5.8.6.3...6......2623.....7.....2.....9.7....39.84.7...4.6.9..58.......3,25,37,19,3,0,0,0,0,0,Intermediate,
.8..4.3..95...37...12.9................571...5..8..1.4...9.42...27...5.3.......1.,25,45,11,0,0,0,0,0,0,Easy,
76.9..34....4.......3..51...8.......5.97...6....18..57.9.546.1.1.........54.1....,27,42,12,0,0,0,0,0,0,Easy,
...7....2..3....1..2..1.3.7..8...6..5..6.......1.7.84....2.....257.41.3.1..3.6..8,27,39,15,0,0,0,0,0,0,Easy,
58....94........8...4...71.1...7.6....853..9.7.3.46.........3.8...76.......3981..,27,50,17,3,0,1,0,3,2,Expert,
7..6.2...1.....6.3..5.....13....4.72..7...1.5..1..68............6.....8.5.8...3.7,24,41,16,0,0,0,0,0,0,Easy,
2....8.7..47.1........7.3.6.1.........4..7....83..5......8.4.3.....632.7.65....84,26,53,11,1,0,0,0,2,2,Expert,
...2.8....7...6..5.19.......9.1..4..86.9....77...5..2..............29.7....8..14.,23,32,25,2,0,0,0,1,0,Expert,
.7..5.8...286.79.4.....963......8...697.2.4....49..........5...48.....6..6......2,26,63,20,0,0,1,0,4,4,Expert,
21..8.7.3............3..8126..219..8......6...35....2.7......8...6..3..7...5..1..,25,70,11,2,0,5,0,4,4,Expert,
4.97..5....24...6.6....5..7..3.7..86.7864...39.48.2..........7...7...29.......3.8,29,36,16,0,0,0,0,0,0,Easy,
.......1..269.......8.........5.1.23.3...865.....9..8....1.356.1........267...9..,24,36,25,1,0,4,1,3,2,Expert,
87...6....2........16.8..3.7.1.48..9.....9....64...7.8.38.94.....2....9....23....,26,40,14,0,0,0,0,1,0,Expert,
.59.1.........4.961....2........3..8......36.......24.3.....5.9.2.5..8...14.2..3.,24,33,23,2,0,0,0,1,0,Expert,
2..3...6..7..4.51....85.7..5.76....48..41...6.3..7....1..........2......7.6....2.,25,56,0,0,0,0,0,0,0,Simple,
..1..76.258.......3..28.91.9...75......8.......3.2.157......2.........78....59...,25,46,10,0,0,0,0,0,0,Easy,
7.6....89.25..9.3....76.5............82.........6......9..2..58.7...36....81..2.7,25,51,17,1,0,1,0,2,2,Expert,
1...8....38.75.........6..39...2.536....17...6..9.....25...8...8..1.36.2.......18,27,47,7,0,0,0,0,0,0,Easy,
47.9......2.74........35..2..9...2.8..8....7.......1.4.3....4191..4....7.....8.5.,25,45,24,2,1,1,1,3,2,Expert,
...7.3.......8.....4.16..7.95.....4..1..7..5.8..6..9.33.......9...31.5...8...9..7,25,40,16,0,1,2,0,0,0,Intermediate,
..1.45..8.6...1...9..3......8....9..7.46....3.9.7....4..9.1....3..........8....75,23,41,17,0,0,0,0,0,0,Easy,
....8....37......4........3.....9..2.27..49.6..6...5..9..75..4.8....63.5.....2..9,24,43,14,0,0,0,0,0,0,Easy,
.9.8.6.....15....4.35...9...561....29......4..14....86.2....3..5.......8.....8625,27,54,0,0,0,0,0,0,0,Simple,
1....2..77..1.93.....6.5.9494.................359..62.329...5....1....3........7.,25,56,0,0,0,0,0,0,0,Simple,
..18.......5..7..6...5.2...5.....1.4...4..28.....9....78.....6......4....4.2..875,23,29,29,0,0,0,0,0,0,Easy,
..89.........1...9..4..213.....3.2......7......2....6.9..74.....278...93.16.....8,24,42,20,1,1,2,0,2,2,Expert,
..7....9...5.631..92...583....791......8.....5....6....8.5...1..72.1..8.3....8.6.,27,40,14,0,0,0,0,0,0,Easy,
8....5..4..16.82.3..3.146.5....9....1.9........68......14..........5.9.89....35.1,27,52,2,0,0,0,0,0,0,Easy,
.3......7.1...7.4.6......5..4..2....762...5.99.......6.7...3.9......4.....496..3.,24,39,18,2,1,3,0,0,0,Intermediate,
2.1..58....821.5.44....3........2.....5.7.432.9....1.....7.1.....3.5..9.....8....,25,44,12,0,0,0,0,0,0,Easy,
4.....5.....15..6..6....3.1...3194.....7......9.6...1....56293........7.5.2..3.4.,26,69,9,3,0,0,0,2,2,Expert,
..............2.5...8..5.3.4.9.....3.7.3...8.5.679.4..2........3..9..56......7.4.,23,46,12,0,0,0,0,0,0,Easy,
..1..7.8.7...982......5...4..7..95..5.9.2..4..6.8....9......7.5.4....1....6......,24,42,15,0,0,0,0,0,0,Easy,
7..8..1......4.8.624..91.....3914....6....9....4.2......1.......9..8..7...72.3...,25,50,6,0,0,0,0,0,0,Easy,
.5...72..8.9..2..52...1..93..1..5..2.6........2.86..37...97...8...1...69.........,26,51,4,0,0,0,0,0,0,Easy,
..6.7.92..219...4....5..6.1.7..5.43..3..41.76.....3.........21....3...575........,27,63,12,1,2,3,1,4,4,Expert,
9.8..7..3...4.....6..8.2.57......4.24......8..2.....69..95.8.2...5.2.....3.9.65..,27,80,26,5,0,2,0,9,10,Expert,
...23....5.2......7..651.....9...7..1...4.9.236......4............563...6..127.53,26,43,12,1,0,3,0,0,0,Intermediate,
.8.6......16.....7...35.8.......37.5.61.......9.8.2.6.2.......1.7..8..9.......5..,23,49,18,5,0,0,0,3,2,Expert,
..32...65.....8.....736....3.46.........71.4.7.5.8.216....35.....671.......8...74,28,48,4,2,0,1,0,1,0,Expert,
1..79....94.3.....3....4........3..9....5.7.....64..31..9..6...8..1...644.7...9..,25,34,23,1,1,4,0,7,2,Expert,
.3....5..9..8......1.73.8.9.7..9.3.8.....17...856.71..79...........4...16.8......,26,58,19,1,0,0,0,2,2,Expert,
....5..4..9...6.....679...56........1..2...74....15......4.2....1......7.59.3....,22,22,37,0,0,0,0,0,0,Easy,
86...5...517..9..3.......1...8.9..5...51...4.67....1.995.7.146........9.......375,29,34,18,0,0,0,0,0,0,Easy,
....9.15......2.....1..6...84..2.5...5.7...41..6....2.5.....6..4.261..957...4....,26,34,19,0,0,1,0,2,0,Expert,
.2.3......6.....394........1.92..68....8..1......74.93.47......6..42.....9..6..1.,25,32,24,0,0,0,0,0,0,Easy,
.61..2.7.8....9.........1..9.2..76.8........7......45..4....5.65...1..8.12..9....,24,34,23,1,0,1,1,0,0,Intermediate,
7.........5.14.3......8.5423.7...1..1........482........861.7....35..8..6.......1,25,43,13,0,0,0,0,0,0,Easy,
...9......4...6...6.......94.3..7..69...127.8....9.4......7.21..1....6.....8....7,23,66,13,1,1,0,2,2,2,Expert,
......1.2..1..76..5.......7.163.8.....57.....39.5.6.8.2...1.53........28......9..,25,42,14,0,0,0,0,0,0,Easy,
3.7.8......5.9..3..8..42..6.........2....7..9..4..53.....824.7.......4...5.6..9.2,25,34,22,0,0,0,0,0,0,Easy,
..35.1..8..928...........5...7...435....9.......34..71.....91...74....89...47.2..,26,55,0,0,0,0,0,0,0,Simple,
..7...5.....1..9.64..698.7.5..96......1.....59...431.....8..46......7...........8,24,49,8,0,0,0,0,0,0,Easy,
..2....1.9......38.46.......7.....8.8..1..9...2..4.....9..873..6..3.....1....24..,23,43,15,0,0,0,0,0,0,Easy,
14..5.......6.2.....594......1...2.....7.5....9..345...5..9....7.4.....6..6.7.1.3,25,56,0,0,0,0,0,0,0,Simple,
6..48.5........2..7....5...3.8.2.4.....3.........6......524..6747..5832...9..3.5.,27,64,17,0,1,1,1,3,2,Expert,
1.9.847...6...7....3715.4....6..1..9....6..435...4...8.9...5.6.....3..14.........,27,35,18,0,0,1,0,1,0,Expert,
...4...2...9...5.7..4.293...5.98..3.84.5......923..7........89.........1.87...2.5,27,52,2,0,0,0,0,0,0,Easy,
.96..2.......8..7.2..4...3..4........27..98.......549...93.......8.7....37..54...,24,46,24,1,1,0,2,2,2,Expert,
2..5.4.........9.143.7..82..193....7.27........3....9...8.43.1........7.....2....,24,35,22,1,0,0,0,0,0,Intermediate,
....9..1..7..1.....8......2.2.....9......3...6.8...75...3.2958...6..72....9....6.,23,41,17,0,0,0,0,0,0,Easy,
..2...5..5.......7.4.6...1...8....4......17....4.573.68.1.6..24.........62...4..8,25,64,12,1,0,1,0,2,2,Expert,
...4....1.6.......8....9....1..853.......4....3....7.8.937...4.1....86.748.......,23,25,33,0,0,0,0,0,0,Easy,
.4.....9....17...5..7...3..81.7.3.599..85...2..4..1.3....2..........8..12..9.....,25,82,20,2,1,1,0,4,4,Expert,
........16...1.958...36........82..9.5......4.......1..1.9.5.3...6......38.64..2.,24,52,5,0,0,0,0,0,0,Easy,
..23..5..54..7.8....8.4..9.89.....4..........25....3.732..69...4....2.7.7..4...5.,27,27,26,2,0,1,0,1,0,Expert,
.6.....7.......629.9.1....5.........7.35...4...27...6....491...5..3.......4...397,24,44,13,0,0,3,0,0,0,Intermediate,
53...8.1...6.......1......2...32.7...8....5.47..6...3......382.2..4....6.5.......,23,38,20,0,0,0,0,0,0,Easy,
.37.6.......2....6.15...7..5.....1.8.7.....9....87.....6.9..5.....62.8...91.8....,24,28,29,0,0,0,0,0,0,Easy,
....34.28....2.......1...5.3.8..9.4.91....8.525.3...7.......9.....8.2....9..57.8.,26,49,6,0,0,0,0,0,0,Easy,
.....8.6...9....42.7..5..1......7.......1......19...2.4..6...8..15.2...468...419.,25,64,16,5,0,3,0,2,2,Expert,
...2......96.......421......7.519..3....3.4.....4...296.9..7.325.....76.....6.9..,26,55,0,0,0,0,0,0,0,Simple,
.2.7....6.7.65........4.1....9..7.6.7.......5.5.1....3.1596.4.7..6....3.49.3.....,27,58,12,1,1,3,0,3,2,Expert,
.....9..4.4....87......8...72.9...4.4.9.7..1..53.1.....1.....8...2...1.79....2.5.,25,35,21,0,0,0,0,0,0,Easy,
7..96.......5.89..........3...1..7.9..6.........486.5.5...1.69.398..71..1....4...,26,36,19,0,0,0,0,0,0,Easy,
..3...8.2....9....82.....1...2.1...4....3.6....6....7...4..3..1..1.6.79.93.....6.,24,39,18,0,0,0,0,0,0,Easy,
.26..9......2.....5...4..8.7.35....88....6.239...7...5....5.2.....89..5.6.7......,25,41,15,1,0,0,0,0,0,Intermediate,
.7.39.....6....82...9..51.....63..5..3......1.....1...25........971.85...13...2..,25,35,21,1,0,0,0,0,0,Intermediate,
..8...6.373....24.............2...9.461.89....9..4.8...1......96.....3...437...1.,25,44,11,1,2,3,1,1,0,Expert,
6.57.9..3.7...2.....3.1..6.5.....12....1.6..8.8........1.893....37.6.2.......7...,26,47,8,0,0,0,0,0,0,Easy,
.54.82.......9.2....7......5.....1...8...9.2....64..5...9.....6....6....71.4..5..,22,43,15,1,2,3,0,1,0,Expert,
...5.........842...3.1........2..37.5..3..1.2..7...54.4..83....6.8..7.5.2.....6.8,26,42,13,0,0,0,0,0,0,Easy,
..3.............2...69.2..8.27..3..43..7.....9..52.73....49..5....86.94..9....8.6,27,38,16,0,0,0,0,0,0,Easy,
..2..7.6......5.......3.1..1.....74.5....1..2.64.......467......283..5....12.48..,25,37,19,2,0,0,0,0,0,Intermediate,
.9.8..65...............5....759...8.4...2......2.7.46.6.7.4..9..1.........4..1..7,23,41,17,0,0,0,0,0,0,Easy,
....8.......9.24.8.6.........4....5.9.86..2.....8.5..7.2.....36..32.6...7...395.2,26,37,18,0,0,0,0,0,0,Easy,
5.....9.6..2....83.692.1...2..84..5.34...2..9..69........4.....9.....864......5..,26,44,11,0,0,0,0,0,0,Easy,
.26......7..........56.3........5.3.1.2......8.9.12.....7..86.2......1..91..6.78.,24,53,4,0,0,0,0,0,0,Easy,
8.93....47.5.9...6..6.5.8.2...76.............6....3..9.4.6.5.2.3.........7...9.3.,25,44,12,0,0,0,0,0,0,Easy,
51.2.8...6.83.4.7.................35....5.8.7...6..14.3...86.....6..17.8...5..4..,26,44,11,0,0,0,0,0,0,Easy,
..9736..2..7.......6..91......68.1.4176......3..........1.79.43..2...9.1....43...,27,43,11,1,1,0,0,0,0,Intermediate,
1......573..5...8..9............5..98.....4..7.6.....54....81.3.7.1.4....8.39.6..,25,51,5,0,0,0,0,0,0,Easy,
.......6...1.83...8936.4..2...3..6.......1.2.9..4......698...1.1..5...48....2.3..,26,40,15,0,0,0,0,0,0,Easy,
....2.981........2......36..9716....46...2....1..7..2.64.....7.7.8...1.....81...3,26,49,13,0,2,1,0,2,2,Expert,
9....8..6....6..7....7.9...8..3....42...17....39.4...8.6..32.4..2.9....3......1.7,26,34,21,0,0,0,0,0,0,Easy,
9....5.38..8..7.4..5...2..784.3......7.....6.....69...3..29........5...4.95.4....,25,35,21,0,0,0,0,0,0,Easy,
81.....6...3.6.........7..8.....8..97..1.3...15.9..8..38.5..2..2..3..1.......6...,24,32,25,0,0,0,0,0,0,Easy,
.3.5.74..4...6...5.9....1...4....5..9.6.38.7..8.6.4......7..8......1.......49...3,25,46,9,3,1,1,0,1,0,Expert,
.3..27.......9.82.4..5.873..2..3.4...9...4....6.8.9.7...6..2....4........7....384,27,49,12,0,0,0,0,6,6,Expert,
.7.453.....9.....8.1....35.45......7.9..67...........61.7.3..94..369..8.....7....,26,33,21,0,1,0,0,1,0,Expert,
.1...9.62......78.2..3..9..6.....42....9.8...7..6..1.38.3..1..........4....48...7,25,55,15,0,0,0,0,2,2,Expert,
1.58.4...4.........9.....8..7.4....3..9.....4.....361.6......9574...68.......8...,23,36,22,1,0,3,0,0,0,Intermediate,
.6..2..3..1..89.6..83.4.27....4..1.9..6...................9.4...4.7.6....978.....,24,49,12,0,1,4,0,3,2,Expert,
967.12....54..7.2...1......13.4.6.7.7.2..3.......9.....25....67...6....4....3....,26,46,9,0,0,0,0,0,0,Easy,
..5.14....6.2.5...2..39..8...19....2.....83.9.3..2....45.......3.....2.5..9.8....,25,43,12,1,0,2,1,1,0,Expert,
.7......3..23..5...1.9.8.....5.....94...2....18.....3..5..1.9.22.......7.49.....5,24,42,14,0,2,1,0,1,0,Expert,
.24...56...8..3..9.6.4..3.8...2..8.....389.......1......962......38.16....6..5.2.,27,100,26,1,2,2,0,15,18,Expert,
.7..2.3........5.2...5.7..98........9....312...5.79..8....3....1.97.4...7....8.3.,25,32,24,0,0,0,0,0,0,Easy,
..21.........97.8.....58..4..1......529..4....8..7....1.....4.2...8.9..66..7.1..9,25,29,27,0,0,0,0,0,0,Easy,
1.....76..2.9......4.......5...6..48....27.1.9...4...2..5......4....1..6.87.5.2..,24,32,25,0,0,0,0,0,0,Easy,
.......9..4......5..9........45.91..9582....42.1.6..7...58..64..8...6....6.9.7..2,27,45,8,4,1,1,0,1,0,Expert,
..7......163.25....25............713.3..6..9.........5....1.9...5239..47..4....36,26,49,6,1,0,0,0,0,0,Intermediate,
..6..9....47...35.........9..9...6....57....3.639.4..1...37.8.5.5..8..6.........4,25,53,27,0,1,0,0,4,6,Expert,
7............3.1.2.62....58..97.....82..56...51....8..17....5.........6.2831..7..,26,36,19,0,0,0,0,0,0,Easy,
....6......5.....631.28...5...6..1..9...12.3....9.........4.....3.5...19.8..215.4,25,37,19,0,0,0,0,0,0,Easy,
..6.2.9...2.8.63..4..........9.5....5..1.......36.41.....943..19.......2.64.8....,25,48,8,0,0,0,0,0,0,Easy,
75...2..1..6.3..5....4..2.....39.5..6.....7.4.4.1...39...5.....564......13.......,25,39,17,1,0,1,0,0,0,Intermediate,
7..895..1.3............4..5......7....597..82...4.....9..5.1.2.........3..8742.5.,25,34,22,0,0,0,0,0,0,Easy,
8...1...23.98..17...2..3...9..18..5.2........15..27.8.....7.5......48........5.39,27,33,20,0,1,1,0,1,0,Expert,
...425...6..1......4....1.3.5.....8.....3..2....26...91....98..38.61...........9.,23,41,16,2,0,3,0,1,0,Expert,
....3...5..9.684......1..62......6....8.24.3.2....1............92..4.5.3...58.9.6,25,48,8,0,0,0,0,0,0,Easy,
5..8...2138....4...1.5..7......4681........4.7.....5.6..32...6..5..3.....7......2,25,39,17,4,0,0,0,0,0,Intermediate,
64.2..75..........28...94.17.......6.25.....7....8..2.196....8.........5....489..,25,49,7,3,1,2,1,0,0,Intermediate,
8...53.4.3..7.9.........8.7...2.5......63.......974.5.7.9.....5.3...2.7.24..6..83,28,45,6,3,0,1,0,2,0,Expert,
3......545....7...6...3.1.8..4.............23.21..8..6.8.6..2.1..54........1...3.,24,40,17,0,0,0,0,0,0,Easy,
..1....85.......9...........9...3.4..24..18...384..5.2...6...2461..9......385....,25,53,3,0,0,0,0,0,0,Easy,
1..76.....6...8......4..7.96...42..1.8.....9.....3.......2..1.8.9....4.2.48....7.,24,36,20,2,1,1,0,1,0,Expert,
....9..8....1.4.......26....4..........5....9.91.8.5.2..59....46182...97......8.5,25,50,16,6,0,0,0,3,2,Expert,
.4.61....1...7.....6.9...8.3.1.4..6....8...9........7.......7..754.93...89...4...,24,43,14,0,0,0,0,0,0,Easy,
..6..9.3....4.....23....9..3....8....1....28.5..1.....42....6...5..34.91..8...3..,24,98,17,3,0,0,0,10,18,Expert,
8......5....2..9...763..............7.8...62.3....85.9...6....5..38.57.1.27.3..9.,26,42,13,0,0,0,0,0,0,Easy,
..61....48...6.9....59...7...9654..74.8.......1.......1...9....5..7...6..8.2....5,25,43,13,0,0,0,0,0,0,Easy,
.3...5........8...6.7.............28..5..297..8.9..3.52.9.6.....43...8...5..27...,24,32,23,0,2,1,0,2,0,Expert,
.3.5..2..1.8...4757......3...4....5....7...1...9..2...9.52..1......5...7....41.98,26,47,8,0,0,0,0,0,0,Easy,
1.4...3.....51..7.26.......4.6....133...5...6..........87...16....27.8..6....84..,25,40,16,0,0,0,0,0,0,Easy,
8.6..9.52...28........7.31..8.627.9.263..1.............37......9..1.3.....1.6....,26,41,14,0,0,0,0,0,0,Easy,
2.....8...9.8...56..421...9.1.....8....4...1.9..6...3.6...2.5...5...4....8......3,24,56,6,3,2,2,0,5,2,Expert,
..8.7.3..7..4..9.5....29...4...9.6.3..6.3.5.45....7....3....8....4.....2..2......,24,38,19,0,3,4,0,0,0,Intermediate,
....6.....4.....89......1.5.2..9...1...8...4.3..6...9..5...28...3.....2.1..35...6,23,99,7,2,1,3,0,6,8,Expert,
..9....2.4....3.17.2...15..7..........4...8.99.8..4..284.....31...1....5..29...8.,26,35,20,0,0,0,0,0,0,Easy,
7..3.82....3.52..........49..59.....4.7.2...5.3..7.....6.839...9....6......2...64,26,57,13,0,0,0,1,3,2,Expert,
6......8.....5...9.......3.5....6..179..8.46...3..7......7..84.9..5.8..6..4.3..7.,25,36,20,0,0,0,0,0,0,Easy,
..53....7..7.14..5....7.21..48....5.....2.3....31.5.........18....4.8.39...95.7..,27,51,3,0,0,1,0,0,0,Intermediate,
